Date,Open,High,Low,Close,Settle,Volume,Prev. Day Open Interest
2016-01-04,41.17,41.62,40.5,40.5,39.94,625.0,70142.0
2016-01-05,40.05,40.21,39.55,39.6,39.55,284.0,74447.0
2016-01-06,39.87,39.87,38.45,38.45,38.68,284.0,73100.0
2016-01-07,38.25,38.6,38.14,38.15,38.62,86.0,74027.0
2016-01-11,37.95,38.32,37.66,37.87,37.35,503.0,75077.0
2016-01-12,37.09,37.1,36.51,36.9,36.8,1784.0,80746.0
2016-01-13,37.05,37.15,36.86,36.86,37.67,115.0,82211.0
2016-01-14,36.96,38.01,36.95,37.94,38.73,971.0,85335.0
2016-01-18,39.26,41.88,39.26,41.49,41.5,734.0,89603.0
2016-01-19,41.6,41.75,40.92,41.1,41.08,255.0,88953.0
2016-01-20,41.38,41.38,40.02,40.14,39.45,134.0,91252.0
2016-01-21,39.24,39.93,39.24,39.45,38.9,427.0,93255.0
2016-01-25,39.68,39.75,39.3,39.38,39.53,310.0,94500.0
2016-01-26,39.5,40.05,39.5,39.96,40.42,301.0,91032.0
2016-01-27,41.28,41.31,41.02,41.03,41.73,575.0,88962.0
2016-01-28,41.9,42.02,41.2,41.2,40.88,294.0,86961.0
2016-02-01,40.65,41.36,40.65,41.05,41.76,666.0,88024.0
2016-02-02,41.14,42.32,41.14,42.2,42.47,453.0,87957.0
2016-02-03,42.28,43.16,41.76,42.91,43.07,1623.0,86096.0
2016-02-04,43.7,44.08,43.7,43.85,43.71,1817.0,86350.0
2016-02-05,43.45,43.65,43.3,43.56,43.24,1394.0,88199.0
2016-02-08,46.0,46.0,42.75,42.75,43.03,9.0,88141.0
2016-02-09,42.88,42.88,42.88,42.88,42.88,0.0,88141.0
2016-02-10,42.19,42.19,42.19,42.19,42.19,0.0,88291.0
2016-02-11,41.75,41.75,41.75,41.75,41.64,1.0,86292.0
2016-02-12,41.66,41.66,41.66,41.66,41.66,,86608.0
2016-02-15,43.01,44.79,43.01,44.79,44.75,736.0,89020.0
2016-02-16,44.5,44.77,44.42,44.5,44.27,443.0,90534.0
2016-02-17,44.5,44.5,44.25,44.25,44.47,119.0,89991.0
2016-02-18,44.75,45.5,44.58,45.4,45.35,440.0,93624.0
2016-02-19,45.35,46.17,45.35,46.03,46.18,1544.0,95803.0
2016-02-22,46.55,48.48,46.55,48.48,49.2,315.0,96686.0
2016-02-23,49.3,49.68,47.46,47.66,48.23,672.0,102201.0
2016-02-24,47.85,48.37,46.99,46.99,47.02,530.0,100203.0
2016-02-25,47.5,48.11,47.2,47.4,46.97,676.0,102538.0
2016-02-26,47.24,47.26,46.5,46.86,46.65,732.0,101955.0
2016-02-29,46.64,47.15,46.55,47.15,48.23,606.0,101101.0
2016-03-01,46.45,48.1,46.45,48.1,47.68,550.0,76819.0
2016-03-02,48.55,49.91,48.19,49.05,49.99,525.0,78318.0
2016-03-03,50.29,50.29,48.66,48.7,48.75,705.0,77644.0
2016-03-07,50.81,61.95,50.81,58.0,60.37,862.0,85863.0
2016-03-08,58.85,59.45,53.8,55.0,54.92,892.0,95028.0
2016-03-09,54.29,54.45,51.5,53.47,53.71,1308.0,97229.0
2016-03-10,54.79,55.79,54.3,54.4,52.65,1082.0,100512.0
2016-03-11,53.78,54.35,52.0,52.0,51.4,350.0,105210.0
2016-03-14,52.4,54.5,52.0,52.0,50.78,651.0,111994.0
2016-03-15,51.11,51.25,50.0,50.08,49.05,862.0,115993.0
2016-03-16,49.76,50.95,49.74,50.75,51.75,740.0,117906.0
2016-03-17,51.53,53.95,51.53,53.53,53.45,925.0,118824.0
2016-03-18,53.65,55.55,53.0,53.0,55.07,654.0,118050.0
2016-03-21,55.18,57.52,55.18,56.05,55.43,904.0,117798.0
2016-03-22,55.59,56.0,55.0,55.0,55.0,517.0,118129.0
2016-03-23,53.88,56.99,53.88,54.7,54.67,299.0,120919.0
2016-03-24,53.58,53.7,51.85,51.93,51.67,628.0,122849.0
2016-03-28,53.18,53.58,51.38,51.5,52.0,685.0,121112.0
2016-03-29,51.95,52.75,51.18,52.0,52.0,1303.0,122503.0
2016-03-30,52.0,52.7,51.71,52.25,51.77,726.0,123322.0
2016-03-31,51.68,52.18,51.5,51.5,52.12,308.0,120075.0
2016-04-01,51.02,51.9,50.7,51.9,51.8,379.0,95977.0
2016-04-04,51.2,51.2,51.2,51.2,52.05,15.0,96058.0
2016-04-05,52.0,52.0,50.4,50.85,51.18,452.0,97747.0
2016-04-06,50.5,50.8,50.32,50.7,50.85,257.0,100552.0
2016-04-07,50.85,51.62,50.85,51.2,51.37,308.0,99078.0
2016-04-08,50.99,51.17,50.99,51.17,51.12,30.0,101972.0
2016-04-11,51.8,53.2,51.5,52.99,53.87,731.0,101643.0
2016-04-12,54.2,57.25,53.9,57.25,57.25,386.0,108780.0
2016-04-13,57.0,57.6,56.25,56.25,57.6,810.0,111565.0
2016-04-14,58.1,58.3,55.85,56.1,55.9,396.0,111419.0
2016-04-15,56.0,56.5,54.9,55.0,55.45,365.0,112119.0
2016-04-18,56.85,58.35,56.35,58.25,58.27,748.0,111705.0
2016-04-19,58.4,59.7,58.29,59.7,59.57,445.0,112744.0
2016-04-20,61.5,62.4,60.35,62.3,62.78,1381.0,114806.0
2016-04-21,63.07,69.99,63.05,66.9,65.75,1018.0,120222.0
2016-04-22,63.2,65.8,62.0,62.0,61.65,1116.0,122273.0
2016-04-25,60.0,64.1,60.0,61.85,61.8,626.0,123567.0
2016-04-26,60.3,61.65,58.71,59.75,59.53,994.0,124174.0
2016-04-27,60.43,60.43,58.31,58.8,59.0,1099.0,119076.0
2016-04-28,58.95,62.0,58.44,62.0,61.92,721.0,122945.0
2016-04-29,62.16,64.42,61.91,64.42,64.02,138.0,123307.0
2016-05-03,60.62,60.62,57.65,58.45,58.55,1126.0,101520.0
2016-05-04,58.12,58.46,56.62,57.2,56.77,802.0,104236.0
2016-05-05,57.4,57.4,55.02,55.83,55.62,1092.0,105852.0
2016-05-06,55.11,55.84,54.5,55.84,55.58,955.0,106890.0
2016-05-09,55.62,56.34,50.37,51.17,51.0,1523.0,112789.0
2016-05-10,50.25,54.62,49.85,51.4,51.8,761.0,113247.0
2016-05-11,51.97,52.7,51.32,52.15,52.2,937.0,113580.0
2016-05-12,52.49,52.49,50.1,50.2,50.42,668.0,113448.0
2016-05-13,49.0,49.82,48.64,49.8,49.23,890.0,112791.0
2016-05-16,49.27,50.31,49.27,50.31,50.5,504.0,112464.0
2016-05-17,49.9,52.6,49.9,52.6,52.27,402.0,111258.0
2016-05-18,51.97,53.1,50.6,51.0,51.19,1090.0,111483.0
2016-05-19,50.9,51.15,49.77,50.85,50.36,286.0,109911.0
2016-05-20,50.54,51.7,50.43,51.7,50.94,199.0,110207.0
2016-05-23,50.97,50.97,47.7,47.7,47.8,729.0,112273.0
2016-05-24,47.94,48.34,47.47,47.9,48.4,580.0,110617.0
2016-05-25,48.67,48.67,46.9,47.4,47.03,398.0,107248.0
2016-05-26,47.19,47.65,46.81,47.65,47.5,534.0,103724.0
2016-05-27,47.86,48.52,46.43,48.07,49.0,765.0,104729.0
2016-05-30,46.39,48.1,46.39,47.8,47.75,420.0,102327.0
2016-05-31,48.0,48.53,47.6,47.7,47.3,258.0,102172.0
2016-06-01,44.85,45.0,44.48,45.0,44.47,669.0,104703.0
2016-06-02,44.33,45.2,43.98,44.86,44.92,611.0,103921.0
2016-06-03,45.28,45.3,45.02,45.27,45.18,217.0,106018.0
2016-06-06,45.97,47.5,45.94,47.5,47.87,1046.0,108691.0
2016-06-07,47.8,48.45,47.5,48.45,48.42,208.0,110356.0
2016-06-08,48.2,48.35,47.9,48.35,48.28,372.0,112104.0
2016-06-09,48.64,48.64,48.64,48.64,48.64,,111754.0
2016-06-10,48.8,48.8,48.8,48.8,48.8,,110554.0
2016-06-13,48.2,49.55,48.2,49.21,49.17,501.0,113171.0
2016-06-14,49.06,49.12,46.85,47.0,47.07,773.0,114965.0
2016-06-15,47.55,47.55,47.04,47.5,47.3,256.0,118224.0
